PV power station,Country,State,Coordinates,"Nominal Power
(kWp)","Production
(Annual MW·h)",CF,Installed,Notes,LatitudeDMS,Latitude
BP Waterfront,South Africa,Western Cape,33°54′22″S18°25′11″E,67,101.4,0.17,2009-03-20,,33°54′22″S,-33.9061111111
HYUN,Korea,North Jeolla,35°34′00″N126°51′00″E,211.4,"292.405 (2010)
307.545 (2011)
300.831 (2012)",0.16,2009-09-15,,35°34′00″N,35.5666666667
YiWu,China,Zhejiang,29°19′00″N120°05′00″E,1295,1287,0.11,2011-03-15,,29°19′00″N,29.3166666667
Rampura Community Solar Power,India,Delhi,28°31′00″N77°04′00″E,21,17.673,0.1,2009-02-08,,28°31′00″N,28.5166666667
MNRE,India,Delhi,28°35′17″N77°14′04″E,20.16,24.739,0.14,2010-12,,28°35′17″N,28.5880555556
Speargrass Domain,New Zealand,Otago,45°02′00″S168°40′00″E,21.6,"31.536 est
29.330 (2010)
28.861 (2011)",0.15,2009-11,"won ""Best installation of 2009"" award",45°02′00″S,-45.0333333333
Silverdale Primary School,New Zealand,Auckland,36°36′22″S174°40′46″E,2.1,2.342,0.13,2007-06-22,One of 42 schools,36°36′22″S,-36.6061111111
Evatt Primary School,Australia,Australian Capital Territory,35°12′24″S149°04′33″E,9.72,13.769,0.16,2010-07-03,One of 800+ schools,35°12′24″S,-35.2066666667
Alice Springs Crowne Plaza Hotel,Australia,Northern Territory,23°42′52″S133°52′46″E,304.98,530,0.2,2009-02,links to 28 locations,23°42′52″S,-23.7144444444
Surrey Hills,Australia,Victoria,37°49′00″S145°05′00″E,2,2.21,0.13,2009-12,,37°49′00″S,-37.8166666667
Jean Canfield Building,Canada,Prince Edward,48°14′14″N63°07′47″W,108,128.566,0.14,2008-02-25,,48°14′14″N,48.2372222222
MCC Resendes,Canada,Ontario,43°25′00″N80°17′00″W,98.23,98.182,0.11,2011-05-01,C$0.713/kWh FIT,43°25′00″N,43.4166666667
Toronto,Canada,Ontario,43°39′00″N79°23′00″W,3.75,4.75,0.14,2010-11-19,,43°39′00″N,43.65
Horse Palace at Exhibition Place,Canada,Ontario,43°38′07″N79°25′00.0″W,100,86.145,0.1,2006,"""Lifetime"" tab is last 2 years",43°38′07″N,43.6352777778
Home Depot - Vaughn,Canada,Ontario,43°47′31″N79°32′46″W,24,31.9,0.15,2007,First Home Depot to have solar panels,43°47′31″N,43.7919444444
Hershey Centre,Canada,Ontario,43°37′54″N79°39′15″W,25,28.6,0.13,2007,,43°37′54″N,43.6316666667
North Bay City Hall,Canada,Ontario,46°18′32″N79°27′39″W,10,11.47,0.13,2008,,46°18′32″N,46.3088888889
Underwriters Laboratories,Canada,Ontario,43°44′43″N75°17′13″W,50,25.738,0.06,2010-09-03,$0.80/kWhr FIT,43°44′43″N,43.7452777778
Yukon Energy Solutions Centre,Canada,Yukon,60°42′55″N135°02′59″W,4.1,4.713,0.13,2009,1.9 kW wind turbine,60°42′55″N,60.7152777778
Kotzebue,USA,Alaska,66°54′00″N162°35′00″W,0.2,0.165,0.09,2009-10-08,,66°54′00″N,66.9
Nenana Teen Center,USA,Alaska,64°33′40″N149°05′11″W,4.4[4],4.79,0.12,2010-09-25,near Fairbanks,64°33′40″N,64.5611111111
Lincoln Middle School,USA,Maine,43°40′35″N70°17′44″W,4.41,5.752,0.15,2008-06-26,,43°40′35″N,43.6763888889
PSNH,USA,New Hampshire,42°59′57″N71°28′07″W,51.315,56.9,0.13,2009-07-15,,42°59′57″N,42.9991666667
CVPS,USA,Vermont,43°38′13″N72°58′29″W,50.16,62.5,0.14,2010-01-15,,43°38′13″N,43.6369444444
Dracut,USA,Massachusetts,42°41′00″N71°17′00″W,7.74,10.7,0.16,2010-08-04,,42°41′00″N,42.6833333333
All American Auto,USA,New York,40°42′18″N73°18′41″W,7,10,0.16,2010-03-13,roof mounted,40°42′18″N,40.705
Sodus,USA,New York,43°10′00″N77°05′00″W,5,8.31,0.19,2009-11-13,dual axis tracking,43°10′00″N,43.1666666667
GC Electric,USA,Pennsylvania,40°34′00″N75°26′00″W,11,12.6,0.13,2010-05-06,,40°34′00″N,40.5666666667
Service Tire Truck Center,USA,New Jersey,39°25′11″N75°01′31″W,160,198.1,0.14,2006-10-10,,39°25′11″N,39.4197222222
Dietz & Watson,USA,New Jersey,40°02′25″N74°55′54″W,1167,1425,0.14,2010-09-24,,40°02′25″N,40.0402777778
American University,USA,Washington DC,38°56′09″N77°05′18″W,27[6],33.689,0.14,2010-07,,38°56′09″N,38.9358333333
DLW,USA,Washington DC,38°58′00″N77°00′00″W,9,9.17,0.12,2011-01-08,,38°58′00″N,38.9666666667
Sheridan School,USA,Washington DC,38°56′50″N77°04′13″W,60[7],62,0.12,2010-12-30,,38°56′50″N,38.9472222222
National Cathedral School,USA,Washington DC,38°55′57″N77°04′19″W,5.76[8],7,0.14,2010-06-09,,38°55′57″N,38.9325
Breakell,USA,Virginia,37°16′37″N79°58′46″W,14.6,22.9,0.18,2009-11-03,array increased May 2011,37°16′37″N,37.2769444444
Danville Community Market,USA,Virginia,36°35′04″N79°23′02″W,35,43.4,0.14,2010-04-09,,36°35′04″N,36.5844444444
Charleston,USA,West Virginia,38°24′00″N81°37′00″W,0.28,0.32,0.13,2009-02-24,,38°24′00″N,38.4
Frankfort,USA,Kentucky,38°13′00″N84°52′00″W,5.5,7,0.15,2011-03-25,,38°13′00″N,38.2166666667
Belton,USA,Kentucky,37°10′00″N87°02′00″W,6,6.27,0.12,2010-12-29,,37°10′00″N,37.1666666667
Worthington Evening Street Schools,USA,Ohio,40°05′30″N83°01′22″W,68,80.3,0.13,2010-03-01,,40°05′30″N,40.0916666667
Newcomerstown Elementary School,USA,Ohio,40°16′07″N81°36′42″W,69,83.3,0.14,2010-09-27,,40°16′07″N,40.2686111111
Newcomerstown High School,USA,Ohio,40°15′58″N81°36′42″W,131,135.5,0.12,2010-09-27,,40°15′58″N,40.2661111111
Washington Court House,USA,Ohio,39°32′42″N83°26′56″W,249,348.8,0.16,2011-02-26,,39°32′42″N,39.545
Naperville,USA,Illinois,41°44′54″N88°11′45″W,5[10],4.5,0.1,2010-06,,41°44′54″N,41.7483333333
Engerman Contracting,USA,Wisconsin,42°32′42″N88°28′05″W,7,7,0.11,2009-09-18,on east facing roof,42°32′42″N,42.545
Delavan,USA,Wisconsin,42°38′00″N88°39′00″W,19.7,32.2,0.19,2010-08-27,,42°38′00″N,42.6333333333
D&E Management,USA,Minnesota,44°58′32″N93°15′13″W,11.4,14.5,0.15,2011-02,,44°58′32″N,44.9755555556
William A. Kerr Foundation,USA,Missouri,38°38′15″N90°10′56″W,3.48,2.39,0.08,2007-07-20,1.8 kW wind turbine,38°38′15″N,38.6375
Person County Solar Park,USA,North Carolina,36°18′48″N78°58′12″W,649,"952 (2010)
971 (2011)
904 (2012)",0.17,2009-08-22,,36°18′48″N,36.3133333333
Charlotte Douglas Airport,USA,North Carolina,35°13′55″N80°56′07″W,305.9[13],404,0.15,2010-12-29,,35°13′55″N,35.2319444444
Columbia Museum of Art,USA,South Carolina,34°00′21″N81°02′11″W,43.2,"61.923 (2011)
59.257 (2012)",0.16,2010-11-15,was the largest commercial project in South Carolina[15],34°00′21″N,34.0058333333
Catbus,USA,South Carolina,34°42′09″N82°42′08″W,43.2,66.283 (2012),0.17,2011-08-26,,34°42′09″N,34.7025
Alpharetta,USA,Georgia,34°07′24″N84°13′46″W,79.2,"138.480 (2011)
133.664 (2012)",0.19,2010-12-30,,34°07′24″N,34.1233333333
Rinehart Solar Farm,USA,Florida,28°46′17″N81°21′13″W,1159,1589.733,0.16,2011-09-01,,28°46′17″N,28.7713888889
Parkland,USA,Florida,26°19′00″N80°14′00″W,5,7.58,0.17,2010-01-22,,26°19′00″N,26.3166666667
Naples,USA,Florida,26°07′00″N81°48′00″W,13.11,18.7,0.16,2010-04-16,,26°07′00″N,26.1166666667
Russellville,USA,Arkansas,35°18′00″N93°07′00″W,7,9.44,0.15,2010-10-13,,35°18′00″N,35.3
Hot Springs,USA,Arkansas,34°40′00″N93°00′00″W,7,9.28,0.15,2010-12-08,,34°40′00″N,34.6666666667
Baton Rouge,USA,Louisiana,30°31′00″N91°08′00″W,8,10.8,0.15,2010-11-13,,30°31′00″N,30.5166666667
Valley City,USA,North Dakota,47°09′00″N99°18′00″W,2.4,3.98,0.19,2010-07-10,,47°09′00″N,47.15
Woodworth,USA,North Dakota,47°09′00″N99°18′00″W,6,10.7,0.2,2010-07-29,tracking,47°09′00″N,47.15
Lincoln,USA,Nebraska,40°52′00″N96°40′00″W,3,4.25,0.16,2009-12,,40°52′00″N,40.8666666667
Tulsa,USA,Oklahoma,36°16′00″N95°53′00″W,1.2,2.13,0.2,2010-07-08,,36°16′00″N,36.2666666667
Choctaw,USA,Oklahoma,35°30′00″N97°16′00″W,6,8,0.15,2010-10-23,,35°30′00″N,35.5
Applied Materials Austin[permanent dead link],USA,Texas,30°20′02″N97°36′49″W,24.5,33.769,0.16,2007-08-15,,30°20′02″N,30.3338888889
Missoula 8kW,USA,Montana,48°52′00″N114°01′00″W,8,11.2,0.16,2009-11-05,,48°52′00″N,48.8666666667
Douglas,USA,Wyoming,42°46′00″N105°22′00″W,4,5.87,0.17,2010-06,,42°46′00″N,42.7666666667
Canon City High School,USA,Colorado,38°27′04″N105°14′03″W,197.97,312.77,0.18,2009-02-28,,38°27′04″N,38.4511111111
Spokane,USA,Washington,47°42′00″N117°22′00″W,4,4.96,0.14,2009-06-15,,47°42′00″N,47.7
Seattle,USA,Washington,47°39′00″N122°20′00″W,4.2,4.8,0.13,2009-08-21,,47°39′00″N,47.65
Portland Habilitation Center,USA,Oregon,45°33′45″N122°30′31″W,858.82,915,0.12,2008-09-04,roof mounted,45°33′45″N,45.5625
Church of the Good Samaritan,USA,Oregon,44°34′18″N123°17′21″W,9,12.3,0.16,2011-03,,44°34′18″N,44.5716666667
Maragas Winery,USA,Oregon,44°24′43″N121°11′47″W,14,19.5,0.16,2010-03-25,roof mounted,44°24′43″N,44.4119444444
The Bell Group,USA,New Mexico,35°05′00.0″N106°43′10″W,1108.8,2023.73,0.21,2010-07,,35°05′00.0,35.0833333333
With Gaia Design,USA,Utah,38°34′00″N109°34′00″W,5,8.25,0.19,2011-02-26,,38°34′00″N,38.5666666667
Springerville,USA,Arizona,34°17′48″N109°16′03″W,6480,9748,0.17,2001,"built in stages, 1.8 MW added end of 2010",34°17′48″N,34.2966666667
Sparks,USA,Nevada,39°32′24″N119°43′11″W,18,27.3,0.17,2010-12-24,,39°32′24″N,39.54
Nellis AFB,USA,Nevada,36°15′30″N115°03′13″W,14200,32000,0.26,2007-11,,36°15′30″N,36.2583333333
Valley Springs,USA,California,38°13′00″N120°49′00″W,4.2,6.56,0.18,2008-05-16,,38°13′00″N,38.2166666667
Valley Springs,USA,California,38°13′00″N120°49′00″W,14.4,19.9,0.16,2008,,38°13′00″N,38.2166666667
Oakdale,USA,California,37°47′00″N120°51′00″W,14,19.59,0.16,2008-06-04,Not working after September 2011,37°47′00″N,37.7833333333
AT&T Park,USA,California,37°46′40″N122°23′27″W,122.72,171.702,0.16,2007-07-09,,37°46′40″N,37.7777777778
Silicon Valley Microelectronics,USA,California,37°22′29″N121°58′53″W,59,95.907,0.19,2009-05-02,,37°22′29″N,37.3747222222
Applied Materials Sunnyvale rooftop,USA,California,37°22′43″N122°00′18″W,977,947,0.11,2007-10-25,Fixed angle,37°22′43″N,37.3786111111
Applied Materials Sunnyvale parking lot,USA,California,37°22′42″N122°00′13″W,1020,1853,0.21,2008-08-06,Tracking,37°22′42″N,37.3783333333
Clovis,USA,California,36°53′00″N119°41′00″W,8.8,11.9,0.15,2008-04-29,Not working October 2011,36°53′00″N,36.8833333333
Jacobsen Trailer,USA,California,36°37′11″N119°40′32″W,35,54.6,0.18,2008-04-07,,36°37′11″N,36.6197222222
Barker Blue Digital Imaging,USA,California,37°34′43″N122°19′23″W,170,312.675,0.21,2009-01-17,,37°34′43″N,37.5786111111
Selma,USA,California,36°33′00″N119°34′00″W,9.6,14.57,0.17,2008-07-07,,36°33′00″N,36.55
Exeter,USA,California,36°20′02″N119°02′02″W,8.4,11.81,0.16,2008-08,,36°20′02″N,36.3338888889
Santa Monica Civic Parking,USA,California,34°00′41″N118°29′24″W,213.6,"214.28 (2008)
208.04 (2009)
249.22 (2010)
258.33 (2011)",0.12,2007-03-28,,34°00′41″N,34.0113888889
Redondo Beach,USA,California,33°53′00″N118°23′00″W,2,"4.54 (2009)
3.65 (2010)
4.50 (2011)",0.27,2008-08-26,,33°53′00″N,33.8833333333
Irvine,USA,California,33°45′00″N117°49′00″W,4,3.15,0.09,2010-02-12,,33°45′00″N,33.75
Costa Mesa,USA,California,33°40′00″N117°55′00″W,6.6,8.87,0.15,2007-11,,33°40′00″N,33.6666666667
Top of the World Elementary,USA,California,33°32′47″N117°45′08″W,30,42,0.16,2005,,33°32′47″N,33.5463888889
Moloa'a Coffee,USA,Hawaii,22°03′56″N159°19′15″W,12.6[20],20.2,0.18,2010-12-07,,22°03′56″N,22.0655555556
Island Soap,USA,Hawaii,22°03′56″N159°19′12″W,26.5,41,0.18,2007-08-15,,22°03′56″N,22.0655555556
DAGS,USA,Hawaii,21°18′20″N157°51′20″W,236.18,"374.8 est.
402.75 (2012)",0.19,2011-02-25,,21°18′20″N,21.3055555556
Havana,Cuba,La Habana,23°07′00″N82°23′00″W,6,8.592,0.16,2010-12-17,,23°07′00″N,23.1166666667
Hermosillo,Mexico,Sonora,29°05′00″N111°02′00″W,81.88,182.25,0.25,2011-11-18,,29°05′00″N,29.0833333333
PIT2,Mexico,Chihuahua,28°41′00″N106°05′00″W,35.2,"34.19 (2011)
33.32 (2012)",0.11,2010-04-07,,28°41′00″N,28.6833333333
Guatemala City,Guatemala,Guatemala,14°39′00″N90°32′00″W,3.16,3.476,0.13,2012-03-24,,14°39′00″N,14.65
Amigos de Jesus,Honduras,Santa Bárbara,15°03′00″N88°22′00″W,6.85,8.905,0.15,2012-01-18,,15°03′00″N,15.05
SEESA de CV,El Salvador,San Salvador,13°44′00″N89°11′00″W,2.17,"3.316 est.
3.048 (2008)
3.295 (2009)
2.968 (2010)
2.935 (2011)",0.16,2007-12-03,,13°44′00″N,13.7333333333
Escuela,El Salvador,San Salvador,13°44′00″N89°11′00″W,2.34,3.12,0.15,2010-04-12,,13°44′00″N,13.7333333333
CEL,El Salvador,San Salvador,13°44′00″N89°11′00″W,24.57,"44.029 est.
37.57 (2010)
39.06 (2011)",0.18,2009-07-31,,13°44′00″N,13.7333333333
Pori,Finland,Western Finland,61°29′00″N21°48′00″E,3.78,3.29,0.1,2010-09-25,,61°29′00″N,61.4833333333
Hultsfreds parish house,Sweden,Småland,57°29′46″N15°50′48″E,14,11.24,0.09,2008-07-03,,57°29′46″N,57.4961111111
Halmstad,Sweden,Halland,56°41′00″N12°53′00″E,56.7,61.96,0.12,2011-01-13,,56°41′00″N,56.6833333333
Bergen,Norway,Hordaland,60°24′00″N5°19′00″E,6.12,3.518,0.07,2009-08,,60°24′00″N,60.4
Heida,Netherlands,Flevoland,52°34′00″N5°27′00″E,100,99.37,0.11,2010-07-02,,52°34′00″N,52.5666666667
Van Geest,Netherlands,South Holland,51°58′30″N4°13′36″E,99.83,94.45,0.11,2010-08-12,,51°58′30″N,51.975
East End Foods,England,West Midlands,52°30′39″N1°58′23″W,262.89,208.735,0.09,2012-02,,52°30′39″N,52.5108333333
HPC Warehouse,England,East of England,52°35′50″N0°15′11″W,186.3,136,0.08,2011-10-24,,52°35′50″N,52.5972222222
Hendra,England,South West,50°23′48″N5°02′40″W,315,318,0.12,2011-08-31,,50°23′48″N,50.3966666667
Ballymaloe Cookery School,Ireland,Munster,51°51′15″N8°01′09″W,11,9.54,0.1,2010-04-16,,51°51′15″N,51.8541666667
Prangli Rahvamaja,Estonia,Harju,59°37′48″N25°00′37″E,3.85,3.817,0.11,2008-10-06,,59°37′48″N,59.63
Sloboda Bushanska,Ukraine,Vinnytsia Oblast,48°21′N 28°05′E,1857,"1,684.459 (2012)",0.1,2011-10-24,,48°21′N 28,48.35
Kahramanmaraş,Turkey,Kahramanmaraş,37°37′00″N36°56′00″E,12,19.71,0.19,2010-09-29,,37°37′00″N,37.6166666667
Electrogrup Solar Power Plant,Romania,Cluj,46°46′00″N23°36′00″E,9.6,10.9,0.13,2010-12-16,,46°46′00″N,46.7666666667
Research Network,Poland,Lower Silesia,51°06′00″N17°02′00″E,15.85,15.57,0.11,2011-11-18,,51°06′00″N,51.1
Mikulov,Czech Republic,South Moravian,48°50′00″N16°38′00″E,940.8,"954.5 (2010)
1167.7 (2011)
1151.9 (2012)",0.13,2009-09-24,,48°50′00″N,48.8333333333
Kájov,Czech Republic,South Bohemian,48°50′00″N14°15′00″E,631.8,698.8,0.13,2009-08-20,,48°50′00″N,48.8333333333
Nové Město nad Metují,Czech Republic,Hradec Králové,50°20′00″N16°09′00″E,1874.7,2004,0.12,2010-02-04,,50°20′00″N,50.3333333333
Allner Hof,Germany,North Rhine-Westphalia,50°47′00″N7°17′00″E,29.48,"36.102 (2010)
24.183 (2011)",0.12,2009-12-16,,50°47′00″N,50.7833333333
Messkirch,Germany,Baden-Württemberg,48°00′00″N9°07′00″E,1080,1162,0.12,2009-10-26,,48°00′00″N,48
WSD,Germany,Baden-Württemberg,47°53′00″N8°26′00″E,20.62,23.386,0.13,2006-01-26,,47°53′00″N,47.8833333333
WSK,Germany,Baden-Württemberg,47°53′00″N8°26′00″E,31.1,35.82,0.13,2006-08-16,,47°53′00″N,47.8833333333
WSG,Germany,Baden-Württemberg,47°53′00″N8°26′00″E,59.5,52.721,0.1,2006-11-09,,47°53′00″N,47.8833333333
WSS,Germany,Baden-Württemberg,47°51′00″N8°32′00″E,42.51,48.547,0.13,2007-07-09,,47°51′00″N,47.85
Technoplast,Germany,Baden-Württemberg,47°53′00″N8°24′00″E,28,26.76,0.11,2006-08-09,,47°53′00″N,47.8833333333
Alter Wall,Germany,Baden-Württemberg,47°41′00″N9°10′00″E,6,"5.938 (2005)
5.945 (2006)
6.379 (2007)
6.310 (2008)
6.112 (2009)
5.634 (2010)
6.355 (2011)",0.12,2005-01-18,,47°41′00″N,47.6833333333
Braunbarth,Germany,Baden-Württemberg,47°41′00″N9°10′00″E,51.29,54.418,0.12,2011-06-23,,47°41′00″N,47.6833333333
Albblickhalle,Germany,Rhineland-Palatinate,47°51′00″N8°51′00″E,50.7,"40.051 (2006)
42.447 (2007)
42.025 (2008)
42.967 (2009)
44.187 (2010)
53.747 (2011)",0.12,2005-12-06,,47°51′00″N,47.85
M & C TechGroup,Germany,Rhineland-Palatinate,47°51′00″N8°51′00″E,29.52,29.002,0.11,2010-11-02,,47°51′00″N,47.85
Aachtal east roof,Germany,Rhineland-Palatinate,47°51′00″N8°51′00″E,64,66.94,0.12,2011-11-18,,47°51′00″N,47.85
Rickelshausen Solarpark,Germany,Baden-Württemberg,47°44′38″N8°55′21″E,1594.87,"1929.57 (2008)
1955.42 (2009)
1714.61 (2010)
1872.57 (2011)",0.13,2007-03-13,,47°44′38″N,47.7438888889
Rickelshausen Solarpark extension 3,Germany,Baden-Württemberg,47°44′38″N8°55′21″E,563.17,"592.596 (2010)
639.278 (2011)",0.13,2009-02-27,,47°44′38″N,47.7438888889
Singen Solarpark,Germany,Baden-Württemberg,47°45′33″N8°53′33″E,559.87,695.1,0.14,2008-03-12,,47°45′33″N,47.7591666667
Denkingen Solarpark,Germany,Baden-Württemberg,48°07′00″N8°44′00″E,960,1191.2,0.14,2010-04-30,,48°07′00″N,48.1166666667
SSP,Germany,Saxony-Anhalt,51°14′43″N11°58′17″E,2304,"2156.65 (2008)
2068.66 (2009)
2032.71 (2010)
2004.61 (2011)
2012.56(2012)
1833.15(2013)
1976.78(2014)",0.1,2007-08-17,,51°14′43″N,51.2452777778
Schreiber,Belgium,Liège,50°41′21″N5°57′40″E,99.82,101.734,0.12,2010-12-30,,50°41′21″N,50.6891666667
Rendapart,Belgium,East Flanders,50°57′56″N4°02′54″E,675.6,678.9,0.11,2009-12-29,,50°57′56″N,50.9655555556
Jaulgonne,France,Picardy,49°09′00″N3°42′00″E,3,2.678,0.1,2011-04-19,,49°09′00″N,49.15
Estigarde,France,Aquitaine,48°28′00″N7°43′00″E,33.73,27.83,0.09,2009-10-30,,48°28′00″N,48.4666666667
Bourg-de-Péage,France,Rhône-Alpes,45°02′00″N5°03′00″E,37.05,40.755,0.12,2010-09-09,,45°02′00″N,45.0333333333
Limoges,France,Limousin,45°52′00″N1°16′00″E,47.25,47.723,0.12,2009-01-27,,45°52′00″N,45.8666666667
Chambéry,France,Rhône-Alpes,45°34′00″N5°55′00″E,79.11,80.613,0.12,2010-07-12,,45°34′00″N,45.5666666667
Abidos,France,Aquitaine,43°24′00″N0°37′00″W,234,257.4,0.13,2011-08-09,,43°24′00″N,43.4
Vienne,France,Poitou-Charentes,45°33′00″N4°52′00″E,33.08,35.291,0.12,2010-04-02,,45°33′00″N,45.55
Perpignan,France,Languedoc-Roussillon,42°43′00″N2°54′00″E,440,533.72,0.14,2011-09-29,,42°43′00″N,42.7166666667
CS Zénith de Pau,France,Aquitaine,43°19′00″N0°22′00″W,3276,3292,0.11,2011-10-06,,43°19′00″N,43.3166666667
Tortonda,Spain,Guadalajara,40°58′00″N2°36′00″W,756,"1441 (2008)
1597 (2009)
1286 (2010)
1474 (2011)",0.22,2007-09-13,,40°58′00″N,40.9666666667
"Cruz del Doctor CT1
Cruz del Doctor CT2
Cruz del Doctor CT3
Cruz del Doctor CT4",Spain,Córdoba,38°21′37″N4°51′50″W,4000,6200,0.18,2009-02-11,,38°21′37″N,38.3602777778
Elshitsa,Bulgaria,Pazardzhik,42°21′00″N24°18′00″E,1148.16,1489,0.15,2011-02-08,,42°21′00″N,42.35
Gamascia,Italy,Puglia,40°11′05″N18°11′07″E,9685.94,14779,0.17,2010-12-20,,40°11′05″N,40.1847222222
